Generation 100, Best: 819,09, Average: 273,4281, Worst: -261,45
Generation 101, Best: 819,09, Average: 160,0353, Worst: -259,65
Generation 102, Best: 819,09, Average: 84,49928, Worst: -261,45
Generation 103, Best: 819,09, Average: 112,8069, Worst: -260,55
Generation 104, Best: 819,09, Average: 145,5057, Worst: -260,55
Generation 105, Best: 819,09, Average: 184,2354, Worst: -260,55
Generation 106, Best: 755,73, Average: 167,8257, Worst: -260,55
Generation 107, Best: 755,73, Average: 208,7056, Worst: -260,55
Generation 108, Best: 755,73, Average: 201,2715, Worst: -261,45
Generation 109, Best: 755,73, Average: 136,6237, Worst: -261,45
Generation 110, Best: 755,73, Average: 161,0838, Worst: -259,65
Generation 111, Best: 755,73, Average: 138,1977, Worst: -256,95
Generation 112, Best: 755,73, Average: 163,845, Worst: -259,65
Generation 113, Best: 755,73, Average: 73,39233, Worst: -258,75
Generation 114, Best: 755,73, Average: 120,0276, Worst: -261,45
Generation 115, Best: 759,3301, Average: 241,1009, Worst: -259,65
Generation 116, Best: 789,21, Average: 203,8734, Worst: -260,55
Generation 117, Best: 857,97, Average: 177,328, Worst: -256,95
Generation 118, Best: 781,11, Average: 127,0468, Worst: -260,55
Generation 119, Best: 781,11, Average: 151,7923, Worst: -260,55
Generation 120, Best: 760,23, Average: 19,99262, Worst: -261,45
Generation 121, Best: 760,23, Average: 62,69306, Worst: -261,45
Generation 122, Best: 760,23, Average: 1,908914, Worst: -261,45
Generation 123, Best: 776,52, Average: 69,44937, Worst: -261,45
Generation 124, Best: 800,1, Average: 77,1246, Worst: -261,45
Generation 125, Best: 776,52, Average: 40,24086, Worst: -260,55
Generation 126, Best: 752,1301, Average: 22,5405, Worst: -259,65
Generation 127, Best: 752,1301, Average: 64,28885, Worst: -261,45
Generation 128, Best: 768,42, Average: 101,8026, Worst: -260,55
Generation 129, Best: 768,42, Average: 113,7025, Worst: -260,55
Generation 130, Best: 732,24, Average: 106,7462, Worst: -260,55
Generation 131, Best: 732,24, Average: 100,7225, Worst: -260,55
Generation 132, Best: 787,41, Average: 97,79307, Worst: -260,55
Generation 133, Best: 787,41, Average: 91,73608, Worst: -260,55
Generation 134, Best: 790,11, Average: 87,42324, Worst: -260,55
Generation 135, Best: 682,47, Average: 64,67031, Worst: -259,65
Generation 136, Best: 682,47, Average: 86,33254, Worst: -260,55
Generation 137, Best: 695,07, Average: 147,4866, Worst: -260,55
Generation 138, Best: 682,47, Average: 183,9591, Worst: -260,55
Generation 139, Best: 683,37, Average: 268,128, Worst: -259,65
Generation 140, Best: 673,47, Average: 157,7574, Worst: -260,55
Generation 141, Best: 639,9, Average: 164,1555, Worst: -260,55
Generation 142, Best: 659,79, Average: 217,6767, Worst: -260,55
Generation 143, Best: 659,79, Average: 197,3574, Worst: -260,55
Generation 144, Best: 724,95, Average: 262,3609, Worst: -260,55
Generation 145, Best: 724,95, Average: 205,138, Worst: -261,45
Generation 146, Best: 849,8701, Average: 198,7974, Worst: -260,55
Generation 147, Best: 760,23, Average: 146,4543, Worst: -260,55
Generation 148, Best: 760,23, Average: 144,2961, Worst: -260,55
Generation 149, Best: 753,03, Average: 183,9447, Worst: -258,75
Generation 150, Best: 753,03, Average: 183,3831, Worst: -260,55
Generation 151, Best: 819,09, Average: 232,867, Worst: -260,55
Generation 152, Best: 819,09, Average: 221,4144, Worst: -260,55
Generation 153, Best: 819,09, Average: 184,5603, Worst: -260,55
Generation 154, Best: 819,09, Average: 189,2818, Worst: -260,55
Generation 155, Best: 819,09, Average: 195,0732, Worst: -256,95
Generation 156, Best: 819,09, Average: 176,1661, Worst: -260,55
Generation 157, Best: 786,51, Average: 221,8545, Worst: -260,55
Generation 158, Best: 786,51, Average: 140,0905, Worst: -260,55
Generation 159, Best: 757,53, Average: 158,311, Worst: -260,55
Generation 160, Best: 757,53, Average: 193,2256, Worst: -260,55
Generation 161, Best: 757,53, Average: 204,0651, Worst: -260,55
Generation 162, Best: 757,53, Average: 233,9244, Worst: -260,55
Generation 163, Best: 757,53, Average: 253,9756, Worst: -260,55
Generation 164, Best: 749,4301, Average: 194,4388, Worst: -260,55
Generation 165, Best: 756,6301, Average: 174,5965, Worst: -260,55
Generation 166, Best: 760,23, Average: 150,939, Worst: -261,45
Generation 167, Best: 760,23, Average: 119,1159, Worst: -260,55
Generation 168, Best: 756,6301, Average: 165,4066, Worst: -260,55
Generation 169, Best: 756,6301, Average: 99,93159, Worst: -260,55
Generation 170, Best: 852,5701, Average: 178,8813, Worst: -260,55
Generation 171, Best: 852,5701, Average: 226,7604, Worst: -259,65
Generation 172, Best: 852,5701, Average: 231,5898, Worst: -261,45
Generation 173, Best: 852,5701, Average: 211,3767, Worst: -260,55
Generation 174, Best: 852,5701, Average: 153,5176, Worst: -260,55
Generation 175, Best: 852,5701, Average: 150,5349, Worst: -260,55
Generation 176, Best: 852,5701, Average: 258,9822, Worst: -254,25
Generation 177, Best: 852,5701, Average: 248,795, Worst: -260,55
Generation 178, Best: 860,67, Average: 272,916, Worst: -260,55
Generation 179, Best: 860,67, Average: 309,2057, Worst: -260,55
Generation 180, Best: 861,5701, Average: 197,9721, Worst: -260,55
Generation 181, Best: 861,5701, Average: 215,4546, Worst: -260,55
Generation 182, Best: 861,5701, Average: 168,4557, Worst: -260,55
Generation 183, Best: 861,5701, Average: 220,3101, Worst: -258,75
Generation 184, Best: 861,5701, Average: 198,4671, Worst: -260,55
Generation 185, Best: 894,1501, Average: 235,6461, Worst: -258,75
Generation 186, Best: 894,1501, Average: 184,2408, Worst: -260,55
Generation 187, Best: 845,2801, Average: 152,7965, Worst: -260,55
Generation 188, Best: 742,14, Average: 168,1299, Worst: -260,55
Generation 189, Best: 742,14, Average: 192,4848, Worst: -260,55
Generation 190, Best: 740,34, Average: 208,1151, Worst: -256,95
Generation 191, Best: 709,5601, Average: 228,9816, Worst: -258,75
Generation 192, Best: 777,51, Average: 251,0891, Worst: -260,55
Generation 193, Best: 777,51, Average: 242,317, Worst: -260,55
Generation 194, Best: 778,41, Average: 238,2192, Worst: -260,55
Generation 195, Best: 828,1801, Average: 273,9087, Worst: -260,55
Generation 196, Best: 774,81, Average: 227,7234, Worst: -260,55
Generation 197, Best: 777,51, Average: 261,9127, Worst: -259,65
Generation 198, Best: 810,09, Average: 206,9676, Worst: -260,55
Generation 199, Best: 810,09, Average: 259,4862, Worst: -260,55
Generation 200, Best: 810,9901, Average: 98,43311, Worst: -260,55
Generation 201, Best: 810,9901, Average: 105,9156, Worst: -259,65
Generation 202, Best: 773,91, Average: 138,5488, Worst: -259,65
Generation 203, Best: 773,91, Average: 175,7755, Worst: -260,55
Generation 204, Best: 773,91, Average: 146,115, Worst: -260,55
Generation 205, Best: 773,91, Average: 177,741, Worst: -260,55
Generation 206, Best: 773,91, Average: 235,8414, Worst: -260,55
Generation 207, Best: 773,91, Average: 266,1256, Worst: -260,55
Generation 208, Best: 776,61, Average: 293,7159, Worst: -259,65
Generation 209, Best: 774,81, Average: 284,2065, Worst: -261,45
Generation 210, Best: 775,71, Average: 295,7788, Worst: -259,65
Generation 211, Best: 776,61, Average: 243,8126, Worst: -259,65
Generation 212, Best: 804,69, Average: 290,9997, Worst: -255,15
Generation 213, Best: 804,69, Average: 233,9694, Worst: -259,65
Generation 214, Best: 816,39, Average: 210,5577, Worst: -260,55
Generation 215, Best: 816,39, Average: 203,0535, Worst: -259,65
Generation 216, Best: 816,39, Average: 172,6668, Worst: -260,55
Generation 217, Best: 816,39, Average: 204,335, Worst: -260,55
Generation 218, Best: 816,39, Average: 148,8772, Worst: -260,55
Generation 219, Best: 816,39, Average: 231,7402, Worst: -259,65
Generation 220, Best: 816,39, Average: 186,9283, Worst: -257,85
Generation 221, Best: 816,39, Average: 163,1484, Worst: -259,65
Generation 222, Best: 816,39, Average: 175,3731, Worst: -260,55
Generation 223, Best: 848,97, Average: 154,2599, Worst: -260,55
Generation 224, Best: 813,69, Average: 158,6933, Worst: -261,45
Generation 225, Best: 812,79, Average: 164,9043, Worst: -257,85
Generation 226, Best: 812,79, Average: 152,0397, Worst: -260,55
Generation 227, Best: 811,89, Average: 165,0844, Worst: -256,95
Generation 228, Best: 812,79, Average: 332,7319, Worst: -260,55
Generation 229, Best: 812,79, Average: 401,3903, Worst: -259,65
Generation 230, Best: 813,69, Average: 336,1186, Worst: -259,65
Generation 231, Best: 815,4901, Average: 352,8415, Worst: -257,85
Generation 232, Best: 843,5701, Average: 210,2372, Worst: -260,55
Generation 233, Best: 844,47, Average: 263,0917, Worst: -255,15
Generation 234, Best: 844,47, Average: 312,8994, Worst: -254,25
Generation 235, Best: 844,47, Average: 257,7357, Worst: -260,55
Generation 236, Best: 845,3701, Average: 226,3599, Worst: -261,45
Generation 237, Best: 814,59, Average: 262,3302, Worst: -259,65
Generation 238, Best: 813,69, Average: 254,9718, Worst: -256,95
Generation 239, Best: 844,47, Average: 220,6809, Worst: -258,75
Generation 240, Best: 858,8701, Average: 279,2654, Worst: -255,15
Generation 241, Best: 827,19, Average: 278,3807, Worst: -256,95
Generation 242, Best: 827,19, Average: 271,1816, Worst: -260,55
Generation 243, Best: 828,09, Average: 207,7758, Worst: -260,55
Generation 244, Best: 828,09, Average: 308,0545, Worst: -260,55
Generation 245, Best: 826,29, Average: 192,9357, Worst: -259,65
Generation 246, Best: 812,79, Average: 291,5162, Worst: -261,45
Generation 247, Best: 854,3701, Average: 267,021, Worst: -261,45
Generation 248, Best: 812,79, Average: 226,6524, Worst: -261,45
Generation 249, Best: 812,79, Average: 218,2716, Worst: -261,45
Generation 250, Best: 863,46, Average: 255,1581, Worst: -260,55
